consumption,timestamp,interval_seconds,interval_minutes,temp_out_c,humidity,home_size_sqft,occupants,hvac_type,thermostat_setpoint_f,comfort_level,tariff_usd_per_kwh,baseline_kwh_per_day,baseline_kwh_per_hour
4.42,2023-01-01 00:42:00,0,0,14.9,98,1200,2,central_ac,74,2,0.26,28,1.1666666666666667
4.37,2023-01-01 01:32:00,3000,50,14.8,99,1200,2,central_ac,74,2,0.26,28,1.1666666666666667
3.24,2023-01-01 01:46:00,840,14,14.8,99,1200,2,central_ac,74,2,0.26,28,1.1666666666666667
3.75,2023-01-01 02:09:00,1380,23,14.8,99,1200,2,central_ac,74,2,0.26,28,1.1666666666666667
4.22,2023-01-01 02:31:00,1320,22,15.1,98,1200,2,central_ac,74,2,0.26,28,1.1666666666666667
2.49,2023-01-01 02:39:00,480,8,15.1,98,1200,2,central_ac,74,2,0.26,28,1.1666666666666667
4.34,2023-01-01 02:42:00,180,3,15.1,98,1200,2,central_ac,74,2,0.26,28,1.1666666666666667
4.19,2023-01-01 03:43:00,3660,61,15.6,97,1200,2,central_ac,74,2,0.26,28,1.1666666666666667
4.0,2023-01-01 04:13:00,1800,30,15.6,97,1200,2,central_ac,74,2,0.26,28,1.1666666666666667
4.48,2023-01-01 04:39:00,1560,26,15.9,97,1200,2,central_ac,74,2,0.26,28,1.1666666666666667
2.2,2023-01-01 04:51:00,720,12,15.9,97,1200,2,central_ac,74,2,0.26,28,1.1666666666666667
4.12,2023-01-01 05:07:00,960,16,15.9,97,1200,2,central_ac,74,2,0.26,28,1.1666666666666667
2.82,2023-01-01 05:59:00,3120,52,15.8,98,1200,2,central_ac,74,2,0.26,28,1.1666666666666667
4.95,2023-01-01 08:02:00,7380,123,18.2,98,1200,2,central_ac,74,2,0.26,28,1.1666666666666667
2.17,2023-01-01 09:55:00,6780,113,19.8,97,1200,2,central_ac,74,2,0.26,28,1.1666666666666667
3.48,2023-01-01 10:09:00,840,14,19.8,97,1200,2,central_ac,74,2,0.26,28,1.1666666666666667
2.35,2023-01-01 10:59:00,3000,50,21.0,95,1200,2,central_ac,74,2,0.26,28,1.1666666666666667
2.63,2023-01-01 11:24:00,1500,25,21.0,95,1200,2,central_ac,74,2,0.26,28,1.1666666666666667
3.07,2023-01-01 12:35:00,4260,71,24.7,75,1200,2,central_ac,74,2,0.26,28,1.1666666666666667
4.59,2023-01-01 12:48:00,780,13,24.7,75,1200,2,central_ac,74,2,0.26,28,1.1666666666666667
4.47,2023-01-01 14:05:00,4620,77,25.4,72,1200,2,central_ac,74,2,0.26,28,1.1666666666666667
3.13,2023-01-01 14:35:00,1800,30,26.1,67,1200,2,central_ac,74,2,0.26,28,1.1666666666666667
4.53,2023-01-01 14:52:00,1020,17,26.1,67,1200,2,central_ac,74,2,0.26,28,1.1666666666666667
2.89,2023-01-01 15:39:00,2820,47,26.0,64,1200,2,central_ac,74,2,0.26,28,1.1666666666666667
2.81,2023-01-01 17:11:00,5520,92,25.5,66,1200,2,central_ac,74,2,0.26,28,1.1666666666666667
3.91,2023-01-01 18:40:00,5340,89,22.5,86,1200,2,central_ac,74,2,0.26,28,1.1666666666666667
3.66,2023-01-01 18:43:00,180,3,22.5,86,1200,2,central_ac,74,2,0.26,28,1.1666666666666667
2.74,2023-01-01 19:31:00,2880,48,21.5,92,1200,2,central_ac,74,2,0.26,28,1.1666666666666667
3.49,2023-01-01 21:50:00,8340,139,21.2,97,1200,2,central_ac,74,2,0.26,28,1.1666666666666667
4.76,2023-01-01 23:56:00,7560,126,20.9,98,1200,2,central_ac,74,2,0.26,28,1.1666666666666667
3.51,2023-01-02 00:49:00,3180,53,21.3,97,1200,2,central_ac,74,2,0.26,28,1.1666666666666667
4.41,2023-01-02 01:40:00,3060,51,21.5,97,1200,2,central_ac,74,2,0.26,28,1.1666666666666667
2.11,2023-01-02 02:28:00,2880,48,21.5,97,1200,2,central_ac,74,2,0.26,28,1.1666666666666667
3.47,2023-01-02 03:36:00,4080,68,21.7,96,1200,2,central_ac,74,2,0.26,28,1.1666666666666667
4.74,2023-01-02 04:10:00,2040,34,21.7,96,1200,2,central_ac,74,2,0.26,28,1.1666666666666667
4.37,2023-01-02 04:16:00,360,6,21.7,96,1200,2,central_ac,74,2,0.26,28,1.1666666666666667
4.19,2023-01-02 06:24:00,7680,128,21.8,97,1200,2,central_ac,74,2,0.26,28,1.1666666666666667
2.75,2023-01-02 07:04:00,2400,40,22.5,94,1200,2,central_ac,74,2,0.26,28,1.1666666666666667
3.54,2023-01-02 07:08:00,240,4,22.5,94,1200,2,central_ac,74,2,0.26,28,1.1666666666666667
4.61,2023-01-02 09:02:00,6840,114,22.1,96,1200,2,central_ac,74,2,0.26,28,1.1666666666666667
2.02,2023-01-02 10:38:00,5760,96,23.8,84,1200,2,central_ac,74,2,0.26,28,1.1666666666666667
3.93,2023-01-02 10:56:00,1080,18,23.8,84,1200,2,central_ac,74,2,0.26,28,1.1666666666666667
4.9,2023-01-02 11:08:00,720,12,23.8,84,1200,2,central_ac,74,2,0.26,28,1.1666666666666667
4.65,2023-01-02 11:34:00,1560,26,21.7,91,1200,2,central_ac,74,2,0.26,28,1.1666666666666667
4.58,2023-01-02 13:18:00,6240,104,21.7,91,1200,2,central_ac,74,2,0.26,28,1.1666666666666667
3.84,2023-01-02 14:00:00,2520,42,22.6,87,1200,2,central_ac,74,2,0.26,28,1.1666666666666667
4.12,2023-01-02 14:20:00,1200,20,22.6,87,1200,2,central_ac,74,2,0.26,28,1.1666666666666667
3.71,2023-01-02 14:23:00,180,3,22.6,87,1200,2,central_ac,74,2,0.26,28,1.1666666666666667
2.25,2023-01-02 14:43:00,1200,20,21.9,92,1200,2,central_ac,74,2,0.26,28,1.1666666666666667
2.34,2023-01-02 14:53:00,600,10,21.9,92,1200,2,central_ac,74,2,0.26,28,1.1666666666666667
4.84,2023-01-02 15:36:00,2580,43,22.1,92,1200,2,central_ac,74,2,0.26,28,1.1666666666666667
2.84,2023-01-02 18:15:00,9540,159,23.6,86,1200,2,central_ac,74,2,0.26,28,1.1666666666666667
4.1,2023-01-02 18:30:00,900,15,23.6,86,1200,2,central_ac,74,2,0.26,28,1.1666666666666667
3.1,2023-01-02 18:52:00,1320,22,23.4,91,1200,2,central_ac,74,2,0.26,28,1.1666666666666667
3.94,2023-01-02 20:02:00,4200,70,23.1,90,1200,2,central_ac,74,2,0.26,28,1.1666666666666667
2.57,2023-01-02 20:11:00,540,9,23.1,90,1200,2,central_ac,74,2,0.26,28,1.1666666666666667
3.5,2023-01-02 21:21:00,4200,70,22.8,91,1200,2,central_ac,74,2,0.26,28,1.1666666666666667
3.05,2023-01-02 23:21:00,7200,120,20.3,95,1200,2,central_ac,74,2,0.26,28,1.1666666666666667
4.83,2023-01-03 00:16:00,3300,55,20.0,93,1200,2,central_ac,74,2,0.26,28,1.1666666666666667
3.76,2023-01-03 02:10:00,6840,114,19.7,95,1200,2,central_ac,74,2,0.26,28,1.1666666666666667
4.77,2023-01-03 02:37:00,1620,27,20.4,94,1200,2,central_ac,74,2,0.26,28,1.1666666666666667
2.86,2023-01-03 02:58:00,1260,21,20.4,94,1200,2,central_ac,74,2,0.26,28,1.1666666666666667
3.33,2023-01-03 03:03:00,300,5,20.4,94,1200,2,central_ac,74,2,0.26,28,1.1666666666666667
4.04,2023-01-03 03:29:00,1560,26,20.4,94,1200,2,central_ac,74,2,0.26,28,1.1666666666666667
2.33,2023-01-03 10:24:00,24900,415,20.8,88,1200,2,central_ac,74,2,0.26,28,1.1666666666666667
3.12,2023-01-03 10:51:00,1620,27,22.4,81,1200,2,central_ac,74,2,0.26,28,1.1666666666666667
4.55,2023-01-03 11:03:00,720,12,22.4,81,1200,2,central_ac,74,2,0.26,28,1.1666666666666667
